Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;1000000;10;0;1;10000000000;3356687;1725433032361612910
1;1000000;10;0;1;10000000000;3597510;1725433032371860249
2;1000000;10;0;1;10000000000;3216040;1725433032381670225
3;1000000;10;0;1;10000000000;3130754;1725433032391639459
4;1000000;10;0;1;10000000000;3199956;1725433032401605601
5;1000000;10;0;1;10000000000;3024180;1725433032411535418
6;1000000;10;0;1;10000000000;3030433;1725433032421571860
7;1000000;10;0;1;10000000000;2980250;1725433032431569575
8;1000000;10;0;1;10000000000;3001170;1725433032441602384
9;1000000;10;0;1;10000000000;2941455;1725433032451578194
10;1000000;10;0;1;10000000000;3111181;1725433032461639942
11;1000000;10;0;1;10000000000;3019865;1725433032471576481
12;1000000;10;0;1;10000000000;2977763;1725433032481641106
13;1000000;10;0;1;10000000000;3017691;1725433032491605994
14;1000000;10;0;1;10000000000;3135948;1725433032501608908
15;1000000;10;0;1;10000000000;3032655;1725433032511647095
16;1000000;10;0;1;10000000000;2943840;1725433032521638637
17;1000000;10;0;1;10000000000;3121329;1725433032531566779
18;1000000;10;0;1;10000000000;3034918;1725433032541575073
19;1000000;10;0;1;10000000000;2912217;1725433032551647782
20;1000000;10;0;1;10000000000;3083710;1725433032561637237
21;1000000;10;0;1;10000000000;3031679;1725433032571605491
22;1000000;10;0;1;10000000000;2911486;1725433032581648037
23;1000000;10;0;1;10000000000;3081718;1725433032591620295
24;1000000;10;0;1;10000000000;3012123;1725433032601600173
25;1000000;10;0;1;10000000000;2858602;1725433032611600238
26;1000000;10;0;1;10000000000;3041136;1725433032621616222
27;1000000;10;0;1;10000000000;3004075;1725433032631597702
28;1000000;10;0;1;10000000000;2906427;1725433032641602490
29;1000000;10;0;1;10000000000;3034311;1725433032651617900
30;1000000;10;0;1;10000000000;3145944;1725433032661583461
31;1000000;10;0;1;10000000000;2913426;1725433032671545549
32;1000000;10;0;1;10000000000;3184611;1725433032681588612
33;1000000;10;0;1;10000000000;3006037;1725433032691575922
34;1000000;10;0;1;10000000000;2991706;1725433032701541265
35;1000000;10;0;1;10000000000;3093162;1725433032711575845
36;1000000;10;0;1;10000000000;2982364;1725433032721574196
37;1000000;10;0;1;10000000000;2925183;1725433032731648183
38;1000000;10;0;1;10000000000;2933762;1725433032741568379
39;1000000;10;0;1;10000000000;2994780;1725433032751612089
40;1000000;10;0;1;10000000000;3000469;1725433032761656195
41;1000000;10;0;1;10000000000;2997835;1725433032771644746
42;1000000;10;0;1;10000000000;3053145;1725433032781614066
43;1000000;10;0;1;10000000000;3005498;1725433032791603399
44;1000000;10;0;1;10000000000;2895644;1725433032801641937
45;1000000;10;0;1;10000000000;3036568;1725433032811582415
46;1000000;10;0;1;10000000000;3008666;1725433032821541779
47;1000000;10;0;1;10000000000;3105911;1725433032831603159
48;1000000;10;0;1;10000000000;3029099;1725433032841611788
49;1000000;10;0;1;10000000000;3006042;1725433032851597219
