Sequence;Data_size;publish_interval;cpu;vm;vm_bytes;Latency(ns);publish_time(ns)
0;50000;10;0;1;10000000000;15660979;1725429473710701197
1;50000;10;0;1;10000000000;408163;1725429473726189253
2;50000;10;0;1;10000000000;197562;1725429473730711692
3;50000;10;0;1;10000000000;253092;1725429473740585921
4;50000;10;0;1;10000000000;333488;1725429473750687250
5;50000;10;0;1;10000000000;377691;1725429473760758199
6;50000;10;0;1;10000000000;339415;1725429473770669489
7;50000;10;0;1;10000000000;232444;1725429473780669813
8;50000;10;0;1;10000000000;204181;1725429473790697067
9;50000;10;0;1;10000000000;248876;1725429473800690149
10;50000;10;0;1;10000000000;207998;1725429473810608114
11;50000;10;0;1;10000000000;203489;1725429473820658237
12;50000;10;0;1;10000000000;240224;1725429473830658197
13;50000;10;0;1;10000000000;214493;1725429473840668370
14;50000;10;0;1;10000000000;203294;1725429473850663060
15;50000;10;0;1;10000000000;234904;1725429473860681486
16;50000;10;0;1;10000000000;199661;1725429473870643439
17;50000;10;0;1;10000000000;222950;1725429473880689793
18;50000;10;0;1;10000000000;302321;1725429473890670800
19;50000;10;0;1;10000000000;247429;1725429473900647223
20;50000;10;0;1;10000000000;201967;1725429473910666581
21;50000;10;0;1;10000000000;217047;1725429473920654191
22;50000;10;0;1;10000000000;215920;1725429473930638777
23;50000;10;0;1;10000000000;201132;1725429473940699311
24;50000;10;0;1;10000000000;199710;1725429473950663929
25;50000;10;0;1;10000000000;220445;1725429473960640652
26;50000;10;0;1;10000000000;199899;1725429473970712199
27;50000;10;0;1;10000000000;195711;1725429473980707910
28;50000;10;0;1;10000000000;238680;1725429473990607973
29;50000;10;0;1;10000000000;198295;1725429474000637330
30;50000;10;0;1;10000000000;198706;1725429474010703256
31;50000;10;0;1;10000000000;233686;1725429474020689599
32;50000;10;0;1;10000000000;200646;1725429474030671485
33;50000;10;0;1;10000000000;195748;1725429474040703583
34;50000;10;0;1;10000000000;233743;1725429474050686777
35;50000;10;0;1;10000000000;198698;1725429474060670634
36;50000;10;0;1;10000000000;197158;1725429474070705569
37;50000;10;0;1;10000000000;235965;1725429474080607703
38;50000;10;0;1;10000000000;202434;1725429474090562323
39;50000;10;0;1;10000000000;195997;1725429474100628310
40;50000;10;0;1;10000000000;229418;1725429474110651486
41;50000;10;0;1;10000000000;196758;1725429474120704323
42;50000;10;0;1;10000000000;196939;1725429474130706420
43;50000;10;0;1;10000000000;230669;1725429474140680898
44;50000;10;0;1;10000000000;200531;1725429474150673712
45;50000;10;0;1;10000000000;196773;1725429474160701727
46;50000;10;0;1;10000000000;230061;1725429474170649436
47;50000;10;0;1;10000000000;197789;1725429474180668948
48;50000;10;0;1;10000000000;198024;1725429474190706890
49;50000;10;0;1;10000000000;271477;1725429474200618736
